elapsed time, used memory, frequent itemset count
0.0, 11124.4140625, 0
6.9890559911727905, 11483.8046875, 17
25.479063987731934, 11483.8046875, 34
25.676633954048157, 11483.8046875, 35
25.87299996614456, 11483.8046875, 36
26.060329973697662, 11483.8046875, 36
44.49883699417114, 11483.8046875, 52
44.63014894723892, 11483.8046875, 54
44.76025599241257, 11483.8046875, 55
44.901807963848114, 11483.8046875, 57
45.093656957149506, 11483.8046875, 60
45.14786797761917, 11483.8046875, 61
45.21984899044037, 11483.8046875, 62
45.24303895235062, 11483.8046875, 62
49.21884399652481, 11483.8046875, 74
56.63044798374176, 11483.8046875, 87
56.82922297716141, 11483.8046875, 87
69.46108496189117, 11483.8046875, 101
69.6158879995346, 11483.8046875, 104
69.71768498420715, 11483.8046875, 105
69.73545497655869, 11483.8046875, 105
71.2837929725647, 11842.8046875, 110
75.31651997566223, 11842.8046875, 118
79.66427499055862, 11842.8046875, 125
89.39221197366714, 11842.8046875, 135
89.43979799747467, 11842.8046875, 136
89.55755698680878, 11842.8046875, 136
93.77399998903275, 11842.8046875, 143
93.81857395172119, 11842.8046875, 143
103.06734198331833, 11842.8046875, 151
103.17907798290253, 11842.8046875, 152
103.18600499629974, 11842.8046875, 152
106.86093699932098, 11842.8046875, 158
106.8768989443779, 11842.8046875, 158
107.8593299984932, 11842.8046875, 161
108.6637669801712, 11842.8046875, 164
110.5677929520607, 11842.8046875, 166
111.48516994714737, 11842.8046875, 167
111.49179595708847, 11842.8046875, 167
