elapsed time, used memory, frequent itemset count
0.0, 14766.3046875, 0
43.06566800177097, 14766.3046875, 17
45.609756991267204, 14766.3046875, 17
46.97183500230312, 14766.3046875, 17
48.304138004779816, 14766.3046875, 17
49.64022199809551, 14766.3046875, 17
51.016004994511604, 14766.3046875, 17
51.95178399980068, 14766.3046875, 17
52.73632599413395, 14766.3046875, 17
53.53268299996853, 15420.65625, 17
54.174967005848885, 15420.65625, 17
54.803545996546745, 15420.65625, 17
55.301681995391846, 15420.65625, 17
55.72514599561691, 15420.65625, 17
56.08008000254631, 15420.65625, 17
56.36648499965668, 15420.65625, 17
56.60421100258827, 15420.65625, 17
56.74646799266338, 15420.65625, 17
56.819251000881195, 15420.65625, 17
162.2266809940338, 16727.328125, 138
170.62978400290012, 16727.328125, 138
177.48790699243546, 17380.6640625, 138
182.81428399682045, 17380.6640625, 138
190.76556599140167, 17380.6640625, 138
192.51849700510502, 17380.6640625, 138
194.17123299837112, 17380.6640625, 138
195.70108999311924, 17380.6640625, 138
197.84345600008965, 17380.6640625, 138
199.03869999945164, 17380.6640625, 138
200.1011399924755, 17380.6640625, 138
201.03313799202442, 17380.6640625, 138
202.35929699242115, 17380.6640625, 138
203.05687700212002, 17380.6640625, 138
203.61267299950123, 17380.6640625, 138
204.06118500232697, 17380.6640625, 138
207.96687899529934, 17380.6640625, 138
210.21794699132442, 17380.6640625, 138
212.19915099442005, 17380.6640625, 138
214.07354399561882, 17380.6640625, 138
216.38935999572277, 18034.1015625, 138
219.67167399823666, 18034.1015625, 138
221.18735200166702, 18034.1015625, 138
222.98990699648857, 18034.1015625, 138
224.39877399802208, 18034.1015625, 138
225.83269000053406, 18034.1015625, 138
227.72598700225353, 18034.1015625, 138
228.32620899379253, 18034.1015625, 138
228.8664080053568, 18034.1015625, 138
229.42882099747658, 18034.1015625, 138
229.92695699632168, 18034.1015625, 138
230.71811600029469, 18034.1015625, 138
231.44216300547123, 18034.1015625, 138
232.63598899543285, 18034.1015625, 138
233.57129499316216, 18034.1015625, 138
234.86673399806023, 18034.1015625, 138
236.00101199746132, 18034.1015625, 138
237.30306699872017, 18034.1015625, 138
238.30312199890614, 18034.1015625, 138
239.2842710018158, 18034.1015625, 138
239.75405099987984, 18034.1015625, 138
239.93364499509335, 18034.1015625, 138
240.06881299614906, 18034.1015625, 138
240.63264299929142, 18034.1015625, 138
241.1690620034933, 18034.1015625, 138
241.67901399731636, 18034.1015625, 138
242.1308339983225, 18034.1015625, 138
242.543428003788, 18034.1015625, 138
242.9442059993744, 18034.1015625, 138
243.28685200214386, 18034.1015625, 138
243.70180800557137, 18034.1015625, 138
244.0600509941578, 18034.1015625, 138
244.28548799455166, 18034.1015625, 138
244.46224600076675, 18034.1015625, 138
244.60261300206184, 18034.1015625, 138
245.16455300152302, 18034.1015625, 138
245.68962900340557, 18034.1015625, 138
246.17784099280834, 18034.1015625, 138
246.72701999545097, 18034.1015625, 138
247.16513399779797, 18034.1015625, 138
247.5961599946022, 18034.1015625, 138
247.98228700459003, 18034.1015625, 138
248.2719999998808, 18034.1015625, 138
248.52579399943352, 18034.1015625, 138
248.74130700528622, 18034.1015625, 138
248.91664700210094, 18034.1015625, 138
249.05228799581528, 18034.1015625, 138
249.33538499474525, 18034.1015625, 138
249.58681599795818, 18034.1015625, 138
249.79476699233055, 18034.1015625, 138
249.96396300196648, 18034.1015625, 138
250.09393300116062, 18034.1015625, 138
250.63885800540447, 18034.1015625, 138
251.01647800207138, 18034.1015625, 138
251.33643899857998, 18034.1015625, 138
251.57841800153255, 18034.1015625, 138
251.78069700300694, 18034.1015625, 138
251.94327700138092, 18034.1015625, 138
252.0666300058365, 18034.1015625, 138
252.1488649994135, 18034.1015625, 138
252.46079099178314, 18034.1015625, 138
252.73774300515652, 18034.1015625, 138
252.97121599316597, 18034.1015625, 138
253.19476300477982, 18034.1015625, 138
253.36632199585438, 18034.1015625, 138
253.48636600375175, 18034.1015625, 138
253.56907400488853, 18034.1015625, 138
253.9140830039978, 18034.1015625, 138
254.2189199924469, 18034.1015625, 138
254.48642100393772, 18034.1015625, 138
254.72225600481033, 18034.1015625, 138
254.9302069991827, 18034.1015625, 138
255.08805999159813, 18034.1015625, 138
255.2066870033741, 18034.1015625, 138
255.28939399123192, 18034.1015625, 138
255.56256599724293, 18034.1015625, 138
255.79414799809456, 18034.1015625, 138
255.9865019917488, 18034.1015625, 138
256.1438830047846, 18034.1015625, 138
256.261091992259, 18034.1015625, 138
256.3409640043974, 18034.1015625, 138
256.6136630028486, 18034.1015625, 138
256.8428819924593, 18034.1015625, 138
257.0361810028553, 18034.1015625, 138
257.19167199730873, 18034.1015625, 138
257.3509429991245, 18034.1015625, 138
257.4360139966011, 18034.1015625, 138
257.68886299431324, 18034.1015625, 138
257.88358099758625, 18034.1015625, 138
258.0381259918213, 18034.1015625, 138
258.15580700337887, 18034.1015625, 138
258.2352069914341, 18034.1015625, 138
258.38833399116993, 18034.1015625, 138
258.5357899963856, 18034.1015625, 138
258.61518999934196, 18034.1015625, 138
258.7673719972372, 18034.1015625, 138
258.8836349993944, 18034.1015625, 138
258.96067099273205, 18034.1015625, 138
259.07457199692726, 18034.1015625, 138
259.1525529921055, 18034.1015625, 138
259.2300619930029, 18034.1015625, 138
400.14698399603367, 18034.1015625, 167
400.18762899935246, 18034.1015625, 167
400.2126770019531, 18034.1015625, 167
400.24387000501156, 18034.1015625, 167
400.3743119984865, 18034.1015625, 167
400.395578995347, 18034.1015625, 167
400.4050319939852, 18034.1015625, 167
